,CIMS-MN-053-SH-M-N-MN-M05688-240322_S29,CIMS-MN-060-SH-K-N-MN-M05688-240322_S12,CIMS-MN-067-SH-K-N-MN-M05688-240322_S19,CIMS-MN-064-SH-M-N-MN-M05688-240322_S40,CIMS-MN-067-SH-M-N-MN-M05688-240322_S43,CIMS-MN-069-SH-K-N-MN-M05688-240322_S21,CIMS-MN-069-SH-M-N-MN-M05688-240322_S45,CIMS-MN-051-SH-M-N-MN-M05688-240322_S27,CIMS-MN-051-SH-K-N-MN-M05688-240322_S3,CIMS-MN-063-SH-M-N-MN-M05688-240322_S39,CIMS-MN-055-SH-M-N-MN-M05688-240322_S31,CIMS-MN-063-SH-K-N-MN-M05688-240322_S15,CIMS-MN-055-SH-K-N-MN-M05688-240322_S7,CIMS-MN-078-IH-MN-M05688-240322_S48
OG0001036primerGroup1,65,54,69,119,115,201,189,234,222,646,720,1018,1205,1169
OG0001037primerGroup3,18,30,26,38,45,68,85,91,106,316,411,428,504,905
OG0001038primerGroup0,38,38,33,72,85,120,162,200,161,495,595,654,817,981
OG0001039primerGroup1,17,26,37,44,54,67,91,114,96,332,374,508,476,702
OG0001040primerGroup0,33,28,27,58,72,67,115,151,108,415,434,512,595,805
OG0001041primerGroup2,38,58,45,117,86,175,172,223,177,583,581,809,944,851
OG0001042primerGroup1,32,24,23,74,59,96,126,122,118,414,392,528,672,550
OG0001043primerGroup2,8,18,10,32,18,36,53,50,73,182,197,249,365,278
OG0001044primerGroup8,13,9,12,17,15,47,45,45,33,164,149,227,267,280
OG0001045primerGroup8,8,11,13,24,28,44,45,60,43,139,184,279,261,522
OG0001046primerGroup7,39,30,49,54,69,105,109,141,116,253,380,442,510,829
OG0001047primerGroup8,20,27,26,69,54,73,150,130,113,392,479,519,8,607
OG0001048primerGroup0,36,25,24,66,54,79,123,148,107,361,396,496,595,590
OG0001049primerGroup7,33,37,27,70,44,71,99,118,114,378,363,575,593,677
OG0001050primerGroup5,35,46,45,108,80,176,168,177,187,548,495,817,895,849
OG0001051primerGroup5,50,63,56,125,112,191,196,231,200,726,637,1044,1187,930
OG0001052primerGroup2,26,30,28,64,68,119,120,117,120,337,436,524,601,778
OG0001053primerGroup9,27,39,39,75,75,145,177,174,164,426,514,615,687,1027
OG0001054primerGroup0,42,57,55,109,128,204,208,260,250,753,822,1129,1311,1327
OG0001055primerGroup0,12,13,11,27,28,43,48,67,70,203,245,331,316,393
OG0001056primerGroup8,36,45,29,118,97,167,232,157,214,592,689,1093,1073,750
OG0001057primerGroup2,14,16,24,26,30,47,62,65,72,195,264,320,338,621
OG0001059primerGroup0,35,44,26,62,73,72,117,133,128,401,432,656,708,678
OG0001060primerGroup3,54,40,32,94,84,153,148,181,157,453,452,680,733,759
OG0001061primerGroup6,32,19,22,45,50,71,98,129,84,339,352,421,435,615
OG0001062primerGroup5,43,52,39,97,83,140,195,196,171,560,565,763,891,994
OG0001063primerGroup4,54,68,51,138,126,167,244,254,233,655,728,1058,1049,1227
OG0001064primerGroup7,74,81,52,193,179,251,387,370,294,872,1071,1483,1527,1818
OG0001065primerGroup5,37,23,26,46,85,72,116,134,102,368,457,554,595,1090
OG0001066primerGroup5,40,45,40,92,92,125,174,203,190,520,619,833,855,1337
OG0001067primerGroup1,55,71,57,108,102,194,166,200,207,718,725,1084,1344,1073
OG0001068primerGroup0,13,17,26,49,38,68,38,62,114,258,319,396,472,595
OG0001069primerGroup2,26,24,22,60,61,81,103,122,129,297,345,421,453,545
OG0001071primerGroup2,52,72,66,114,113,177,167,236,211,594,553,799,1073,733
OG0001072primerGroup2,33,38,38,78,68,90,129,174,134,363,488,589,676,852
OG0001073primerGroup3,68,50,61,137,158,201,269,327,276,729,642,980,1100,972
OG0001074primerGroup6,3,0,0,0,0,0,3,3,0,14,14,11,19,23
OG0001075primerGroup3,40,47,43,78,67,135,119,169,169,446,536,658,912,792
OG0001076primerGroup0,42,46,41,91,100,147,135,194,217,474,471,787,917,729
OG0001077primerGroup5,53,57,68,128,95,209,177,222,212,550,545,813,1039,726
OG0001078primerGroup5,36,50,40,100,121,145,202,212,169,621,654,802,816,1182
OG0001079primerGroup1,32,35,49,97,88,121,119,167,134,449,417,573,799,590
OG0001080primerGroup0,18,24,31,44,48,89,98,113,75,315,392,499,547,759
OG0001081primerGroup3,48,50,47,104,127,127,229,245,201,658,752,881,878,1597
OG0001082primerGroup1,42,55,50,88,104,144,198,250,192,583,669,864,992,1379
OG0001083primerGroup5,64,69,64,128,140,207,273,345,235,705,895,1186,1188,1738
OG0001084primerGroup5,44,55,66,112,145,198,233,232,245,685,662,1011,1027,1178
OG0001085primerGroup3,40,67,71,113,101,174,187,226,236,598,562,872,972,957
OG0001086primerGroup0,29,25,28,59,66,99,97,101,118,329,342,406,578,491
OG0001087primerGroup8,57,56,61,138,117,197,270,266,251,737,796,1052,1075,1278
OG0001088primerGroup9,32,31,23,55,43,82,110,147,129,344,421,463,533,640
OG0001089primerGroup5,66,66,74,133,145,232,209,220,277,697,726,1136,1321,1119
OG0001090primerGroup0,26,15,17,44,41,75,101,85,75,299,371,503,488,733
OG0001091primerGroup0,71,85,71,163,166,195,237,324,287,734,747,1013,1128,1162
OG0001092primerGroup0,33,33,31,50,45,64,119,137,94,348,400,540,549,655
OG0001093primerGroup1,4,5,7,16,20,23,48,43,39,132,177,189,168,508
OG0001094primerGroup0,24,31,25,62,81,84,171,186,83,388,539,587,515,934
OG0001095primerGroup0,46,61,51,121,120,187,208,229,222,668,627,995,1123,1168
OG0001096primerGroup2,12,16,34,40,33,54,73,63,88,227,293,436,490,519
OG0001097primerGroup0,52,55,42,122,146,157,145,279,211,610,565,860,930,876
OG0001098primerGroup2,29,56,53,102,98,142,175,190,172,540,520,800,927,839
OG0001099primerGroup0,38,42,46,104,108,152,175,213,183,601,589,803,980,1014
OG0001100primerGroup3,21,18,20,46,61,101,111,136,112,365,285,568,458,1012
OG0001101primerGroup3,46,71,77,119,96,222,128,176,295,665,591,990,1374,942
OG0001103primerGroup8,25,28,37,85,61,89,97,130,121,367,456,637,581,728
OG0001104primerGroup0,0,2,0,4,6,7,10,10,5,55,38,29,42,74
OG0001105primerGroup9,21,25,23,44,39,71,56,62,92,230,230,356,454,368
OG0001106primerGroup4,27,32,28,54,53,96,119,119,102,372,421,517,611,14
OG0001107primerGroup4,55,70,73,116,145,176,282,302,263,812,970,1287,1263,1814
OG0001108primerGroup6,69,91,79,175,189,266,321,405,291,1035,1042,1384,1574,1613
OG0001109primerGroup8,34,20,32,56,73,82,137,174,90,373,480,570,573,885
OG0001110primerGroup2,5,5,0,13,6,26,19,8,12,85,114,127,175,232
OG0001111primerGroup0,15,12,19,34,26,57,78,72,84,206,294,274,329,458
OG0001112primerGroup2,45,57,33,95,93,157,130,170,144,505,436,694,967,671
OG0001113primerGroup8,27,23,25,78,67,95,124,142,115,319,363,492,583,686
OG0001114primerGroup2,44,32,29,65,77,133,108,116,132,367,375,499,749,509
OG0001116primerGroup3,16,14,30,37,43,53,110,107,63,245,264,390,323,707
OG0001117primerGroup4,44,63,55,115,111,149,199,206,191,485,616,729,1082,914
OG0001118primerGroup0,52,60,50,139,126,222,208,228,235,694,679,967,990,1101
OG0001120primerGroup2,43,45,35,101,89,160,150,177,158,495,555,837,807,1004
OG0001121primerGroup2,10,15,22,28,24,36,31,53,56,146,201,247,305,327
OG0001122primerGroup0,41,41,36,73,76,107,109,128,142,395,397,530,633,770
OG0001123primerGroup0,18,36,27,49,54,85,120,140,97,360,444,582,587,1048
OG0001124primerGroup6,17,17,12,35,55,40,82,82,71,269,277,340,383,436
OG0001125primerGroup9,28,40,44,62,56,126,89,107,129,302,341,474,683,546
OG0001126primerGroup0,26,42,24,63,53,96,110,142,126,411,460,647,638,573
OG0001127primerGroup7,80,92,78,183,142,213,253,266,270,786,727,1030,1339,918
OG0001128primerGroup0,62,53,56,140,113,4,14,272,174,607,701,842,985,956
OG0001129primerGroup9,36,26,32,89,62,106,113,163,137,436,502,633,759,644
OG0001130primerGroup9,41,63,54,116,113,189,207,210,205,597,545,1049,1111,966
OG0001131primerGroup0,21,35,26,55,58,112,127,112,123,397,427,674,590,751
OG0001132primerGroup0,37,43,32,84,101,122,187,212,151,528,547,776,774,1323
OG0001133primerGroup6,15,18,17,43,56,61,83,85,79,253,333,466,411,677
OG0001134primerGroup2,44,54,60,127,134,185,240,258,228,564,641,853,929,1027
OG0001135primerGroup1,0,0,3,7,3,4,4,3,7,14,28,25,29,38
OG0001136primerGroup3,74,68,83,122,140,242,269,297,248,777,888,1380,1299,1730
OG0001137primerGroup2,37,57,35,92,105,179,208,239,178,516,588,861,920,1039
OG0001138primerGroup1,16,22,36,43,50,72,109,125,85,300,416,464,520,606
OG0001139primerGroup1,61,55,63,116,131,211,208,259,259,667,735,984,1188,1227
OG0001140primerGroup0,36,41,46,96,85,127,164,224,155,373,407,460,591,700
OG0001141primerGroup7,64,73,55,134,146,202,201,226,234,608,626,901,951,878
OG0001142primerGroup2,39,37,44,81,67,121,107,134,146,446,401,647,824,551
OG0001143primerGroup4,36,49,38,95,116,111,165,211,192,507,517,730,852,970
OG0001144primerGroup1,59,70,85,154,140,237,237,282,290,697,673,958,1297,1140
OG0001145primerGroup1,25,33,30,77,73,107,125,176,130,409,435,580,637,712
OG0001146primerGroup6,53,42,74,128,119,214,247,297,255,594,722,978,1160,1214
OG0001147primerGroup7,10,18,16,35,24,45,36,52,45,225,195,311,413,337
OG0001148primerGroup6,41,59,53,106,96,139,160,202,156,541,512,706,851,769
OG0001149primerGroup0,42,37,43,82,100,88,162,180,140,429,596,749,799,1030
OG0001150primerGroup0,16,20,24,40,59,49,63,90,80,243,268,348,414,587
OG0001152primerGroup5,80,109,114,212,196,296,313,361,374,928,913,1375,1524,1231
OG0001153primerGroup3,46,52,56,114,108,172,165,229,212,592,610,856,991,1145
OG0001154primerGroup0,0,0,0,0,0,0,3,0,3,0,5,3,0,0
OG0001155primerGroup4,62,78,62,136,147,224,181,296,277,728,665,982,1289,955
OG0001156primerGroup0,37,50,69,137,169,218,283,340,244,817,850,1163,1231,1570
OG0001157primerGroup2,38,44,59,96,110,177,190,235,182,520,595,855,904,969
OG0001158primerGroup3,78,102,104,191,201,319,309,385,311,896,786,1203,1439,1255
OG0001159primerGroup0,9,11,6,20,27,30,48,52,51,178,210,236,289,434
OG0001160primerGroup5,34,40,40,67,77,128,149,183,131,464,547,683,687,1003
OG0001161primerGroup5,53,63,69,131,152,218,231,246,244,571,544,796,938,952
OG0001162primerGroup2,5,6,3,18,20,22,32,37,21,178,201,146,180,367
OG0001163primerGroup7,13,11,9,21,19,32,45,49,45,139,200,222,229,395
OG0001164primerGroup7,42,51,45,112,99,154,142,186,157,449,401,693,775,694
OG0001165primerGroup1,39,47,44,106,71,163,136,162,192,595,562,845,1080,812
OG0001166primerGroup1,41,54,59,116,78,165,173,213,180,535,513,745,895,867
OG0001167primerGroup4,36,51,36,75,80,136,129,187,163,550,643,876,943,1279
OG0001168primerGroup5,11,18,17,49,43,51,76,84,69,252,292,322,347,535
OG0001169primerGroup0,23,20,26,57,54,79,73,89,73,347,335,505,558,596
OG0001171primerGroup0,58,57,56,127,146,196,254,282,268,697,697,1006,1215,1081
OG0001172primerGroup4,32,33,27,74,52,119,131,136,130,479,396,633,710,730
OG0001173primerGroup8,64,62,58,110,106,203,199,224,269,603,605,929,1152,984
OG0001174primerGroup7,7,9,10,21,14,14,33,36,29,105,143,158,179,236
OG0001175primerGroup8,53,85,75,158,143,208,243,284,278,687,693,918,1175,990
OG0001176primerGroup3,29,33,33,48,69,98,115,131,141,318,366,622,602,840
OG0001177primerGroup0,21,31,33,59,91,110,112,182,165,426,509,652,693,1151
OG0001178primerGroup2,25,25,18,49,41,77,80,94,93,229,247,364,483,574
OG0001179primerGroup1,54,55,42,128,114,136,194,267,195,575,631,816,837,909
OG0001180primerGroup0,25,32,22,60,63,105,120,159,124,487,426,736,821,770
OG0001182primerGroup2,38,43,34,100,106,140,194,263,189,587,615,899,858,1198
OG0001183primerGroup4,20,19,12,43,46,75,62,82,76,257,277,415,512,618
OG0001184primerGroup9,37,34,33,80,65,124,153,142,168,393,469,641,684,881
OG0001185primerGroup4,5,17,3,7,4,44,47,11,20,225,255,325,402,428
OG0001186primerGroup4,41,39,37,75,83,129,180,222,138,459,513,716,759,1017
OG0001187primerGroup2,41,30,25,82,60,97,136,168,129,470,469,616,780,793
OG0001190primerGroup4,74,95,95,218,192,313,332,366,375,925,996,1380,1578,1849
OG0001191primerGroup9,43,28,38,90,106,83,100,175,151,349,455,532,610,953
OG0001192primerGroup2,18,48,43,94,68,104,137,136,118,414,378,606,749,640
OG0001193primerGroup9,7,9,11,13,13,39,37,33,38,121,155,197,216,253
OG0001194primerGroup2,38,28,38,70,60,110,118,136,113,413,470,665,703,823
OG0001195primerGroup0,22,23,36,50,61,124,125,132,121,311,393,559,568,826
OG0001196primerGroup1,4,5,6,12,16,18,31,42,19,123,141,149,113,229
OG0001197primerGroup0,15,25,18,32,48,80,90,130,85,331,423,531,485,864
OG0001198primerGroup2,48,43,48,119,106,161,197,254,208,543,612,875,920,989
OG0001199primerGroup8,28,38,27,80,71,109,139,187,137,475,576,695,685,1135
OG0001200primerGroup0,86,102,88,146,162,252,308,370,323,892,907,1310,1399,1252
OG0001201primerGroup5,40,39,48,82,71,126,89,122,156,404,440,638,739,744
OG0001202primerGroup0,39,33,35,83,82,148,208,226,152,523,603,804,955,1026
OG0001203primerGroup7,38,67,53,119,108,126,200,203,192,587,620,851,951,1151
OG0001204primerGroup8,47,49,38,106,99,136,198,196,190,506,464,684,803,779
OG0001205primerGroup3,40,51,41,108,82,164,163,228,160,553,592,817,969,884
OG0001206primerGroup8,68,92,74,154,170,274,277,286,309,810,849,1067,1323,1081
OG0001207primerGroup5,0,2,0,2,0,5,6,5,5,11,14,18,21,22
OG0001208primerGroup7,63,76,82,149,169,285,211,319,304,839,904,1226,1496,1505
OG0001209primerGroup5,54,63,69,129,102,177,187,252,228,656,726,916,1154,1129
OG0001210primerGroup0,44,52,44,100,93,129,194,206,186,602,602,921,1021,1147
OG0001211primerGroup0,69,74,62,169,158,232,236,311,261,665,688,1021,1242,879
OG0001212primerGroup0,72,55,61,122,153,191,208,291,257,667,680,909,1047,1123
OG0001213primerGroup0,66,72,71,133,146,210,260,270,245,715,797,1004,1263,1226
OG0001214primerGroup8,43,66,63,113,104,193,191,204,238,581,545,837,1070,958
OG0001215primerGroup8,41,70,50,114,119,223,195,226,236,594,621,903,961,899
OG0001217primerGroup7,5,6,5,15,14,20,31,38,21,102,97,183,165,238
OG0001385primerGroup0,76,76,57,143,118,251,266,340,250,778,856,1061,1238,1262
OG0001386primerGroup2,39,60,43,95,113,142,192,203,193,535,606,792,826,1171
OG0001387primerGroup0,15,17,17,29,37,60,71,96,59,245,259,358,382,506
OG0001388primerGroup8,54,63,60,139,165,184,229,286,237,768,783,1012,1124,1077
OG0001389primerGroup2,57,75,77,159,130,172,152,248,238,688,721,1033,1178,1033
OG0001390primerGroup0,47,50,46,73,80,164,172,150,163,513,668,804,988,1417
OG0001391primerGroup9,44,47,47,83,99,150,161,214,178,462,528,772,865,1071
OG0001392primerGroup5,29,51,44,91,95,175,155,183,195,562,621,796,924,917
OG0001393primerGroup1,23,25,47,78,84,121,140,191,161,426,409,639,748,619
OG0001394primerGroup8,51,14,59,109,141,163,200,257,216,676,215,1026,298,720
OG0001395primerGroup2,17,29,36,36,38,77,76,61,77,148,240,240,417,376
OG0001396primerGroup4,11,15,24,30,33,61,57,57,70,219,254,321,456,431
OG0001397primerGroup8,26,16,27,34,65,88,84,119,87,379,409,452,491,773
OG0001398primerGroup7,10,11,13,27,31,56,87,62,42,233,220,303,265,533
OG0001400primerGroup1,19,22,18,39,42,65,75,91,68,228,349,365,451,771
OG0001401primerGroup5,22,25,26,50,47,85,128,117,108,357,349,564,584,702
OG0001402primerGroup0,27,22,32,54,48,119,90,106,98,296,363,427,624,626
OG0001403primerGroup0,39,53,58,92,101,166,196,226,176,553,564,802,1001,990
OG0001404primerGroup8,31,24,43,49,62,103,115,146,105,363,400,497,550,867
OG0001407primerGroup3,36,38,45,76,81,156,171,193,175,501,476,741,802,776
OG0001409primerGroup5,52,51,58,118,135,221,207,272,238,602,639,1021,1038,967
OG0001410primerGroup0,3,9,4,8,6,18,15,15,21,84,96,113,110,190
OG0001411primerGroup2,23,22,21,448,45,87,95,118,114,335,415,486,512,661
OG0001412primerGroup2,57,37,43,102,113,153,177,210,177,397,520,729,784,850
OG0001413primerGroup2,41,65,61,96,96,197,164,199,212,593,559,954,1210,896
OG0001414primerGroup0,69,86,76,150,141,292,232,315,279,834,838,1241,1548,1382
OG0001415primerGroup2,0,0,0,3,0,0,0,0,0,8,5,0,9,6
OG0001416primerGroup4,20,18,9,45,29,58,82,76,73,216,253,287,357,509
OG0001417primerGroup1,29,20,22,51,66,78,101,98,88,325,382,475,489,610
OG0001418primerGroup1,29,36,36,74,85,157,141,192,139,484,564,743,798,1065
OG0001419primerGroup1,32,30,23,53,60,117,145,151,129,377,447,594,652,977
OG0001420primerGroup8,23,36,22,64,64,91,90,86,84,366,337,515,462,499
OG0001422primerGroup3,54,60,58,87,108,200,131,189,198,388,358,550,706,523
OG0001423primerGroup2,19,28,22,52,63,84,114,112,87,299,375,429,483,746
OG0001424primerGroup8,42,66,88,101,133,244,255,265,275,655,715,1173,1256,1264
OG0001425primerGroup1,35,41,40,83,70,139,131,133,142,453,450,629,870,690
OG0001426primerGroup7,24,13,27,76,70,51,80,133,103,235,253,362,395,778
OG0001427primerGroup5,79,68,80,145,158,196,218,275,291,747,18,1254,49,1630
OG0001429primerGroup2,35,33,25,56,48,101,106,128,96,316,359,415,596,537
OG0001430primerGroup4,34,44,51,97,52,131,118,140,155,481,447,714,1018,719
OG0001431primerGroup3,9,9,8,13,30,24,42,46,30,140,189,263,255,404
OG0001432primerGroup2,8,14,9,13,22,49,36,38,29,167,183,252,290,523
OG0001433primerGroup1,53,63,56,120,93,187,184,225,210,622,659,914,1146,992
OG0001435primerGroup1,51,59,45,111,104,158,200,242,193,616,631,860,953,1293
OG0001436primerGroup4,85,76,79,142,128,204,204,269,254,657,654,874,1157,857
OG0001438primerGroup2,51,60,69,110,133,232,264,291,259,745,792,1227,1284,1476
OG0001439primerGroup1,7,19,11,29,28,48,60,71,55,211,226,255,296,425
OG0001440primerGroup0,34,53,34,47,78,92,131,126,138,408,459,672,668,1033
OG0001441primerGroup2,28,21,17,211,43,69,84,106,96,282,358,442,522,833
OG0001442primerGroup4,27,27,24,41,50,93,86,133,99,338,410,503,559,811
OG0001443primerGroup4,51,52,51,97,99,188,152,213,210,617,672,931,1023,1135
OG0001445primerGroup9,41,49,44,54,72,121,150,199,153,451,545,655,674,1048
OG0001446primerGroup0,41,46,46,113,120,150,159,250,206,692,614,850,860,928
OG0001447primerGroup9,29,35,32,61,61,107,132,161,149,416,532,534,650,774
OG0001448primerGroup6,39,54,68,80,130,168,169,185,204,519,503,837,1034,893
OG0001449primerGroup0,21,27,20,43,40,64,81,95,62,276,353,363,428,755
OG0001450primerGroup3,68,105,96,166,158,295,219,290,304,852,711,1017,1437,1062
OG0001451primerGroup1,10,6,7,13,23,30,35,37,25,123,178,208,192,405
OG0001452primerGroup8,60,57,40,116,119,156,229,232,208,544,560,863,913,1227
OG0001453primerGroup0,38,43,28,66,80,111,125,150,124,445,488,540,685,832
OG0001454primerGroup0,24,37,24,73,56,91,84,122,106,322,283,429,587,462
OG0001455primerGroup1,58,50,30,95,120,165,194,242,204,653,747,918,1000,1442
OG0001456primerGroup9,27,21,32,56,61,92,125,112,92,359,375,392,551,605
OG0001457primerGroup0,86,127,125,251,275,382,412,553,477,1280,1261,1807,2028,1989
OG0001458primerGroup4,27,37,36,55,53,35,35,125,132,394,410,559,621,622
OG0001459primerGroup7,43,44,39,106,136,156,203,232,193,635,667,934,1029,1116
OG0001460primerGroup4,75,61,77,135,138,286,231,324,312,782,807,1228,1596,1227
OG0001461primerGroup6,50,37,65,101,107,186,188,240,202,637,664,828,1053,1114
OG0001462primerGroup6,56,59,52,141,154,225,229,263,262,714,788,1079,1246,1207
OG0001463primerGroup2,42,51,37,92,92,144,172,142,127,534,542,724,809,818
OG0001464primerGroup9,88,109,101,161,195,90,95,336,342,842,886,1305,1580,1296
OG0001465primerGroup3,38,34,34,73,52,143,127,165,160,476,546,696,799,1051
OG0001466primerGroup7,51,50,45,122,106,188,164,200,194,470,521,668,1003,869
OG0001467primerGroup3,13,24,25,75,68,89,104,115,98,328,433,540,500,964
OG0001468primerGroup2,11,19,18,30,35,41,67,79,40,217,320,327,337,760
OG0001469primerGroup0,20,14,29,49,35,76,71,99,93,306,251,354,434,382
OG0001470primerGroup9,6,14,9,16,21,18,22,30,31,101,124,158,150,344
OG0001471primerGroup2,43,51,56,78,100,190,197,207,155,505,606,901,959,1247
OG0001472primerGroup3,35,30,29,71,83,112,137,155,134,477,569,759,792,1184
OG0001473primerGroup8,42,62,48,111,118,187,200,237,234,700,662,1013,1215,1063
OG0001474primerGroup9,46,42,37,88,108,143,189,208,167,518,552,876,844,957
OG0001475primerGroup4,25,28,23,63,50,46,57,123,94,378,381,466,598,609
OG0001476primerGroup5,36,56,45,96,92,153,147,175,175,476,511,739,899,780
OG0001477primerGroup7,59,54,71,127,114,244,205,301,235,767,828,1088,1415,1266
OG0001478primerGroup8,59,63,66,121,144,212,222,272,266,693,748,1022,1218,1068
OG0001479primerGroup4,18,25,26,39,56,90,114,120,103,327,386,470,460,693
OG0001480primerGroup2,72,71,57,138,118,191,255,298,199,630,642,866,1098,905
OG0001481primerGroup3,37,54,49,101,109,145,201,240,171,555,539,701,857,895
OG0001482primerGroup5,49,82,70,116,158,177,216,262,216,644,704,858,1042,1006
OG0001483primerGroup3,53,45,69,77,103,145,168,222,208,475,540,814,878,1189
OG0001484primerGroup6,47,50,43,97,101,150,160,176,177,671,674,813,905,1031
OG0001485primerGroup9,45,47,42,91,117,184,234,211,169,531,653,843,864,951
OG0001486primerGroup0,9,34,17,46,37,111,109,85,66,225,236,410,470,454
OG0001487primerGroup1,43,34,28,90,73,172,174,177,161,550,480,740,947,951
OG0001488primerGroup7,38,38,43,93,83,182,149,168,179,549,551,872,967,934
OG0001489primerGroup9,38,29,25,58,54,118,85,109,119,281,280,416,516,362
OG0001490primerGroup7,0,0,0,2,0,4,2,3,0,4,11,18,17,28
OG0001491primerGroup5,13,7,7,26,18,28,24,43,42,87,153,159,207,229
OG0001492primerGroup9,42,52,48,96,113,186,198,199,185,659,628,829,1004,890
OG0001493primerGroup3,27,34,29,38,88,89,144,145,108,374,451,530,602,845
OG0001494primerGroup2,6,15,22,36,33,76,70,61,81,234,259,354,451,576
OG0001495primerGroup9,30,30,30,69,92,114,139,162,137,454,549,723,707,1172
OG0001496primerGroup8,32,45,56,79,104,144,153,172,141,496,527,680,777,904
OG0001497primerGroup2,14,21,24,23,31,68,88,92,65,166,302,318,440,567
OG0001498primerGroup3,36,38,45,76,106,158,184,198,179,519,633,943,849,1290
OG0001499primerGroup5,35,48,26,82,66,121,118,141,122,435,392,600,728,620
OG0001500primerGroup0,24,20,20,48,53,81,127,121,90,329,417,382,470,725
OG0001501primerGroup8,4,7,5,16,16,17,22,28,23,71,106,123,106,246
OG0001502primerGroup4,12,11,12,16,24,11,17,49,42,170,163,268,225,373
OG0001503primerGroup3,27,26,27,71,45,117,91,135,109,398,392,588,673,956
OG0001504primerGroup0,29,39,31,80,78,100,109,176,120,413,456,663,625,956
OG0001505primerGroup9,22,17,27,24,52,92,60,85,98,256,289,335,439,472
OG0001506primerGroup1,8,8,13,13,19,49,47,66,73,169,252,267,304,567
OG0001507primerGroup2,37,52,37,86,107,173,170,176,166,490,527,805,803,1106
OG0001508primerGroup5,52,48,60,117,110,159,181,217,190,608,598,972,1052,943
OG0001509primerGroup9,33,24,33,66,83,80,134,143,129,383,402,502,594,836
OG0001511primerGroup0,34,42,45,87,92,136,169,196,181,521,652,913,984,1320
OG0001512primerGroup9,28,31,41,84,78,102,110,138,163,398,471,617,748,891
OG0001513primerGroup9,42,32,32,76,105,117,135,159,177,476,486,735,756,1031
OG0001514primerGroup5,25,24,24,36,48,71,68,39,40,288,290,398,447,474
OG0001515primerGroup3,44,42,45,79,83,133,122,173,166,490,557,743,921,935
OG0001517primerGroup5,44,30,59,93,95,158,173,209,181,589,628,870,990,1070
OG0001519primerGroup8,33,39,37,64,97,141,168,207,201,524,513,800,874,813
OG0001520primerGroup1,43,25,36,94,78,154,169,148,145,493,547,648,846,1053
OG0001521primerGroup8,46,53,56,92,113,165,168,195,212,573,567,759,905,852
OG0001522primerGroup6,3,3,2,11,4,13,18,14,10,45,62,69,80,97
OG0001523primerGroup2,5,6,6,19,23,27,38,25,24,117,145,187,235,314
OG0001524primerGroup2,38,40,59,91,91,169,151,189,218,488,562,783,993,900
OG0001525primerGroup1,12,11,17,25,28,42,39,63,54,139,187,230,257,455
OG0001526primerGroup3,28,30,17,70,75,86,133,142,138,418,477,652,702,799
OG0001527primerGroup2,38,47,58,107,113,193,195,210,219,689,695,879,1208,976
OG0001528primerGroup4,26,23,24,36,61,92,82,107,110,308,336,397,532,513
OG0001529primerGroup2,34,46,30,75,83,147,135,177,165,489,532,844,810,1161
OG0001530primerGroup2,38,35,34,91,98,166,148,204,172,583,619,804,974,1041
OG0001531primerGroup0,25,31,33,57,95,112,135,156,133,501,509,571,712,858
OG0001533primerGroup0,50,54,77,128,127,239,214,284,282,687,708,965,1430,909
OG0001534primerGroup4,11,9,6,18,19,23,30,48,27,114,136,172,178,224
OG0001535primerGroup2,47,46,58,80,89,158,150,183,170,445,469,803,950,903
OG0001536primerGroup3,67,91,58,162,100,193,206,219,252,599,520,835,1074,829
OG0001537primerGroup8,3,2,0,4,6,6,15,15,10,39,52,73,62,35
OG0001538primerGroup3,45,51,52,94,90,181,159,191,240,640,645,943,1106,1083
OG0001539primerGroup5,36,44,37,95,83,141,166,193,150,493,498,735,720,1130
OG0001540primerGroup6,53,80,59,130,147,204,196,262,197,620,581,845,977,741
OG0001541primerGroup1,30,23,48,70,83,121,145,151,151,447,416,642,741,852
OG0001542primerGroup2,60,53,47,116,129,164,203,246,240,577,686,874,981,1150
OG0001543primerGroup1,23,28,31,58,73,117,112,162,134,389,461,604,670,810
OG0001544primerGroup3,0,0,0,2,0,0,5,0,0,0,5,5,5,9
OG0001546primerGroup9,39,53,30,100,98,114,113,199,167,376,422,631,720,677
OG0001547primerGroup4,24,28,17,51,47,74,94,107,88,310,337,378,482,585
OG0001548primerGroup3,29,33,35,61,79,139,169,165,144,434,533,736,797,1027
OG0001549primerGroup5,38,43,45,96,88,145,108,141,193,471,563,751,997,873
OG0001550primerGroup8,43,41,45,66,101,171,151,160,175,555,480,672,889,865
OG0001552primerGroup1,65,53,41,120,140,175,210,278,220,537,551,836,990,873
OG0001553primerGroup0,72,75,79,146,149,217,224,279,252,647,574,967,1173,740
OG0001554primerGroup7,25,24,47,55,84,120,140,157,168,446,556,700,816,1024
OG0001556primerGroup5,55,50,88,159,174,192,162,318,336,608,645,938,1080,1028
OG0001557primerGroup1,12,6,12,15,23,40,18,37,38,148,187,202,209,72
OG0001558primerGroup8,44,36,57,91,116,142,201,205,169,554,540,717,663,940
OG0001559primerGroup5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001560primerGroup1,29,30,31,61,57,112,123,142,145,399,515,623,652,1091
OG0001561primerGroup0,57,79,83,141,181,226,301,326,289,740,697,1182,1268,1021
OG0001562primerGroup6,16,20,26,43,42,80,77,99,86,297,351,447,439,772
